Country Name,Country Code,Region,IncomeGroup,cellph_per100,co2_perc,land_area,electricity,fertility,fuel_exps_pc,start_business,foreign_inv,gdp,gdp_pc,growth_gdp_pc,hiv_prev,servs_mill,mil_exp,internet_users,population,rd_exp,taxRev_pc,val_primary,val_industry,val_manufacturing,val_services,region_code
Aruba,ABW,Latin America & Caribbean,high,,8.41006417792511,180.0,100.0,1.798,0.25065688213296694,,87653631.28491619,2700558659.2178802,39454.6298308169,0.8554311019929771,,977.544938594993,,97.17,105845.0,,,,,,,LAm_Ca
Afghanistan,AFG,South Asia,low,67.35057259999999,0.293946407148718,652860.0,97.7,4.477,,8.5,51533896.765,20191764940.1602,1934.6367541203501,0.08207892887539,,43.447835047001895,0.9845605041301321,11.44768809,37172386.0,,7.58538233129798,21.0810862110389,21.8232227792274,11.370465433619199,52.761719231561,SAs
Angola,AGO,Sub-Saharan Africa,lower_mid,44.73497738,1.29030677595566,1246700.0,41.88623046875,5.622999999999999,96.194403359153,36.0,-7397295409.189909,122123822333.591,6650.584939847779,-3.40990331461406,1.9,10.799299776085599,1.77713755353982,14.33907936,30809762.0,,11.002019136702302,9.83116860869256,42.643566778715,6.7526805695234,46.9809943251591,SSAf
Albania,ALB,Europe & Central Asia,upper_mid,123.73609599999999,1.97876331208568,27400.0,100.0,1.71,1.56752336260238,5.0,1022132156.8604301,13025062195.7906,12930.0676756249,3.9321645079289707,0.1,443.020375805171,1.1789005582884098,71.8470405,2866376.0,,18.515789855309897,19.8499781660723,21.1419993086489,5.68442741798015,46.697168516495,Eu_CAs
Andorra,AND,Europe & Central Asia,high,104.3812122,5.83290621488897,470.0,100.0,,0.122804361352133,,,3013387423.93509,,2.11506015294789,,3415.54005792133,,98.87143552,77006.0,,,0.492101388264151,9.84471894475008,3.20788592474693,79.20410289532471,Eu_CAs
Arab World,ARB,,,100.423540645109,4.88698751329195,11232647.0079041,90.273686599832,3.27096197518822,70.116464138423,20.6,30109196871.7626,2588676963425.26,17102.1269199991,-0.9309965240029641,,127.06627177924999,5.6381017767734,48.84762069912029,419790588.0,,5.31677202661313,5.47819711648175,39.1709520930955,13.6957379412603,54.1045926214625,
United Arab Emirates,ARE,Middle East & North Africa,high,210.9140231,22.9396063130991,71020.0,100.0,1.7309999999999999,42.4962399651308,3.7,10354223433.2425,382575085091.899,73355.8769793479,-0.550570887738374,,1285.0995177398402,,94.81992254,9630959.0,0.89504,0.0577340241915802,0.7760545678620671,41.4486809512769,8.98441789806352,57.775302948031204,MEa_NAf
Argentina,ARG,Latin America & Caribbean,upper_mid,139.81460019999997,4.78150777487432,2736690.0,100.0,2.2769999999999997,4.7510544651873605,11.0,11516861462.2845,642695864756.35,20843.1550677175,1.60928234377617,0.4,1628.59139070889,0.854560979237316,75.80974423,44494502.0,0.6140800000000001,12.3365069418291,6.26456582010254,22.0541072112108,13.488025970805099,56.12223585470039,LAm_Ca
Armenia,ARM,Europe & Central Asia,upper_mid,119.04396940000001,1.8987193736581103,28470.0,100.0,1.604,6.33975076060719,3.5,249759360.69556603,11527458565.7334,9620.818491000358,7.18375792858292,0.2,271.324897472128,4.77833758658911,69.71812489,2951776.0,0.25001999999999996,20.931220827140997,16.39047353385,25.5771330395605,10.284649981296699,49.9105094267778,Eu_CAs
American Samoa,ASM,East Asia & Pacific,upper_mid,,,200.0,,,,,,634000000.0,,-5.17390270324398,,988.8529306005029,,,55465.0,,,,,,,EAs_Pa
